label,area,soil_type,ph,n,p,k,humidity,temperature,rainfall
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.71,109.0,12.0,48.0,92.13,29.46,20.76
tomatoes,,sandy loam,6.71,109.0,12.0,48.0,92.13,29.46,20.76
tomatoes,,sandy loam,6.71,109.0,12.0,48.0,92.13,29.46,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
muskmelon,,,6.708743843,109.0,12.0,48.0,92.12534736,29.45771748,20.76212031
muskmelon,,,6.708743843,109.0,12.0,48.0,92.12534736,29.45771748,20.76212031
muskmelon,,,6.562832807,118.0,18.0,52.0,90.83130708,28.04943594,20.76223014
muskmelon,,,6.562832807,118.0,18.0,52.0,90.83130708,28.04943594,20.76223014
muskmelon,,,6.706053225,80.0,18.0,51.0,91.81758779,28.05380704,20.76582087
muskmelon,,,6.706053225,80.0,18.0,51.0,91.81758779,28.05380704,20.76582087
tomatoes,,sandy loam,6.71,80.0,18.0,51.0,91.82,28.05,20.77
tomatoes,,sandy loam,6.71,80.0,18.0,51.0,91.82,28.05,20.77
tomatoes,,sandy loam,6.71,80.0,18.0,51.0,91.82,28.05,20.77
tomatoes,,sandy loam,6.71,80.0,18.0,51.0,91.82,28.05,20.77
tomatoes,,sandy loam,6.71,80.0,18.0,51.0,91.82,28.05,20.77
tomatoes,,sandy loam,6.71,80.0,18.0,51.0,91.82,28.05,20.77
muskmelon,,,6.160414414,95.0,27.0,55.0,91.21322065,28.47212559,20.88620369
muskmelon,,,6.160414414,95.0,27.0,55.0,91.21322065,28.47212559,20.88620369
tomatoes,,sandy loam,6.16,95.0,27.0,55.0,91.21,28.47,20.89
tomatoes,,sandy loam,6.14,111.0,5.0,52.0,94.04,29.88,21.0
tomatoes,,sandy loam,6.14,111.0,5.0,52.0,94.04,29.88,21.0
muskmelon,,,6.135996372,111.0,5.0,52.0,94.0371147,29.8843055,21.0000988
muskmelon,,,6.135996372,111.0,5.0,52.0,94.0371147,29.8843055,21.0000988
muskmelon,,,6.685553129,115.0,12.0,52.0,94.96218673,27.51492243,21.01796432
muskmelon,,,6.685553129,115.0,12.0,52.0,94.96218673,27.51492243,21.01796432
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.69,115.0,12.0,52.0,94.96,27.51,21.02
tomatoes,,sandy loam,6.49,84.0,21.0,55.0,94.79,28.47,21.08
tomatoes,,sandy loam,6.49,84.0,21.0,55.0,94.79,28.47,21.08
tomatoes,,sandy loam,6.49,84.0,21.0,55.0,94.79,28.47,21.08
tomatoes,,sandy loam,6.49,84.0,21.0,55.0,94.79,28.47,21.08
tomatoes,,sandy loam,6.49,84.0,21.0,55.0,94.79,28.47,21.08
tomatoes,,sandy loam,6.49,84.0,21.0,55.0,94.79,28.47,21.08
muskmelon,,,6.494251024,84.0,21.0,55.0,94.79453182,28.47090661,21.08484101
muskmelon,,,6.494251024,84.0,21.0,55.0,94.79453182,28.47090661,21.08484101
muskmelon,,,6.700337732,96.0,13.0,55.0,94.57459443,29.5275305,21.13545688
muskmelon,,,6.700337732,96.0,13.0,55.0,94.57459443,29.5275305,21.13545688
tomatoes,,sandy loam,6.7,96.0,13.0,55.0,94.57,29.53,21.14
tomatoes,,sandy loam,6.7,96.0,13.0,55.0,94.57,29.53,21.14
tomatoes,,sandy loam,6.7,96.0,13.0,55.0,94.57,29.53,21.14
tomatoes,,sandy loam,6.7,96.0,13.0,55.0,94.57,29.53,21.14
tomatoes,,sandy loam,6.7,96.0,13.0,55.0,94.57,29.53,21.14
tomatoes,,sandy loam,6.7,96.0,13.0,55.0,94.57,29.53,21.14
muskmelon,,,6.274452811,111.0,5.0,47.0,91.47355778,28.03306461,21.17924769
muskmelon,,,6.2744528110000015,111.0,5.0,47.0,91.47355778,28.03306461,21.17924769
tomatoes,,sandy loam,6.27,111.0,5.0,47.0,91.47,28.03,21.18
tomatoes,,sandy loam,6.27,111.0,5.0,47.0,91.47,28.03,21.18
tomatoes,,sandy loam,6.27,111.0,5.0,47.0,91.47,28.03,21.18
tomatoes,,sandy loam,6.27,95.0,23.0,45.0,90.57,27.82,21.19
tomatoes,,sandy loam,6.27,95.0,23.0,45.0,90.57,27.82,21.19
tomatoes,,sandy loam,6.27,95.0,23.0,45.0,90.57,27.82,21.19
tomatoes,,sandy loam,6.27,95.0,23.0,45.0,90.57,27.82,21.19
tomatoes,,sandy loam,6.27,95.0,23.0,45.0,90.57,27.82,21.19
muskmelon,,,6.266208727,95.0,23.0,45.0,90.56698742,27.82424457,21.19014526
muskmelon,,,6.266208727,95.0,23.0,45.0,90.56698742,27.82424457,21.19014526
tomatoes,,sandy loam,6.09,110.0,14.0,51.0,91.67,27.02,21.26
tomatoes,,sandy loam,6.09,110.0,14.0,51.0,91.67,27.02,21.26
tomatoes,,sandy loam,6.09,110.0,14.0,51.0,91.67,27.02,21.26
tomatoes,,sandy loam,6.09,110.0,14.0,51.0,91.67,27.02,21.26
muskmelon,,,6.085444691,110.0,14.0,51.0,91.66737633,27.02415146,21.26034986
muskmelon,,,6.085444691,110.0,14.0,51.0,91.66737633,27.02415146,21.26034986
tomatoes,,sandy loam,6.29,117.0,24.0,53.0,92.21,29.17,21.3
tomatoes,,sandy loam,6.29,117.0,24.0,53.0,92.21,29.17,21.3
tomatoes,,sandy loam,6.29,117.0,24.0,53.0,92.21,29.17,21.3
tomatoes,,sandy loam,6.29,117.0,24.0,53.0,92.21,29.17,21.3
muskmelon,,,6.293486295,117.0,24.0,53.0,92.21405224,29.17220859,21.30290472
muskmelon,,,6.293486295,117.0,24.0,53.0,92.21405224,29.17220859,21.30290472
muskmelon,,,6.541150335,82.0,20.0,54.0,90.01506395,29.34033587,21.44532907
muskmelon,,,6.541150335,82.0,20.0,54.0,90.01506395,29.34033587,21.44532907
tomatoes,,sandy loam,6.54,82.0,20.0,54.0,90.02,29.34,21.45
tomatoes,,sandy loam,6.54,82.0,20.0,54.0,90.02,29.34,21.45
tomatoes,,sandy loam,6.54,82.0,20.0,54.0,90.02,29.34,21.45
tomatoes,,sandy loam,6.54,82.0,20.0,54.0,90.02,29.34,21.45
tomatoes,,sandy loam,6.54,82.0,20.0,54.0,90.02,29.34,21.45
tomatoes,,sandy loam,6.54,82.0,20.0,54.0,90.02,29.34,21.45
tomatoes,,sandy loam,6.54,82.0,20.0,54.0,90.02,29.34,21.45
muskmelon,,,6.224535449,109.0,26.0,45.0,90.38971208,28.27973674,21.58992507
muskmelon,,,6.224535448999998,109.0,26.0,45.0,90.38971208,28.27973674,21.58992507
tomatoes,,sandy loam,6.22,109.0,26.0,45.0,90.39,28.28,21.59
tomatoes,,sandy loam,6.22,109.0,26.0,45.0,90.39,28.28,21.59
tomatoes,,sandy loam,6.22,109.0,26.0,45.0,90.39,28.28,21.59
tomatoes,,sandy loam,6.22,109.0,26.0,45.0,90.39,28.28,21.59
tomatoes,,sandy loam,6.22,109.0,26.0,45.0,90.39,28.28,21.59
tomatoes,,sandy loam,6.22,109.0,26.0,45.0,90.39,28.28,21.59
muskmelon,,,6.630301421,107.0,22.0,54.0,90.84660317,27.99611732,21.61893763
muskmelon,,,6.630301421,107.0,22.0,54.0,90.84660317,27.99611732,21.61893763
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.63,107.0,22.0,54.0,90.85,28.0,21.62
tomatoes,,sandy loam,6.38,87.0,25.0,46.0,90.03,27.43,21.75
tomatoes,,sandy loam,6.38,87.0,25.0,46.0,90.03,27.43,21.75
muskmelon,,,6.379690748,87.0,25.0,46.0,90.02696201,27.42711692,21.7508774
muskmelon,,,6.379690748,87.0,25.0,46.0,90.02696201,27.42711692,21.7508774
muskmelon,,,6.327210469,120.0,25.0,50.0,94.81637388,28.05457761,21.84869328
muskmelon,,,6.327210469,120.0,25.0,50.0,94.81637388,28.05457761,21.84869328
tomatoes,,sandy loam,6.33,120.0,25.0,50.0,94.82,28.05,21.85
tomatoes,,sandy loam,6.33,120.0,25.0,50.0,94.82,28.05,21.85
tomatoes,,sandy loam,6.33,120.0,25.0,50.0,94.82,28.05,21.85
tomatoes,,sandy loam,6.78,93.0,22.0,48.0,91.52,29.13,21.9
tomatoes,,sandy loam,6.78,93.0,22.0,48.0,91.52,29.13,21.9
tomatoes,,sandy loam,6.78,93.0,22.0,48.0,91.52,29.13,21.9
tomatoes,,sandy loam,6.78,93.0,22.0,48.0,91.52,29.13,21.9
muskmelon,,,6.776987974,93.0,22.0,48.0,91.52291141,29.12533739,21.90440445
muskmelon,,,6.776987974,93.0,22.0,48.0,91.52291141,29.12533739,21.90440445
muskmelon,,,6.163921248,83.0,11.0,53.0,92.91778307,29.54097171,21.9653077
muskmelon,,,6.163921247999999,83.0,11.0,53.0,92.91778307,29.54097171,21.9653077
tomatoes,,sandy loam,6.16,83.0,11.0,53.0,92.92,29.54,21.97
tomatoes,,sandy loam,6.19,111.0,15.0,54.0,92.91,27.71,22.06
tomatoes,,sandy loam,6.19,111.0,15.0,54.0,92.91,27.71,22.06
tomatoes,,sandy loam,6.19,111.0,15.0,54.0,92.91,27.71,22.06
muskmelon,,,6.194090172,111.0,15.0,54.0,92.91185695,27.7058373,22.06207161
muskmelon,,,6.194090172,111.0,15.0,54.0,92.91185695,27.7058373,22.06207161
muskmelon,,,6.012480351,115.0,18.0,53.0,94.19790371,29.17052093,22.06994464
muskmelon,,,6.0124803510000016,115.0,18.0,53.0,94.19790371,29.17052093,22.06994464
tomatoes,,sandy loam,6.01,115.0,18.0,53.0,94.2,29.17,22.07
tomatoes,,sandy loam,6.01,115.0,18.0,53.0,94.2,29.17,22.07
tomatoes,,sandy loam,6.01,115.0,18.0,53.0,94.2,29.17,22.07
tomatoes,,sandy loam,6.01,115.0,18.0,53.0,94.2,29.17,22.07
tomatoes,,sandy loam,6.01,115.0,18.0,53.0,94.2,29.17,22.07
muskmelon,,,6.002927293,99.0,12.0,52.0,94.30759855,28.69708334,22.21807088
muskmelon,,,6.002927293,99.0,12.0,52.0,94.30759855,28.69708334,22.21807088
tomatoes,,sandy loam,6.0,99.0,12.0,52.0,94.31,28.7,22.22
tomatoes,,sandy loam,6.0,99.0,12.0,52.0,94.31,28.7,22.22
tomatoes,,sandy loam,6.0,99.0,12.0,52.0,94.31,28.7,22.22
muskmelon,,,6.566759102,86.0,18.0,45.0,90.71832938,28.96586565,22.25838137
muskmelon,,,6.566759102000001,86.0,18.0,45.0,90.71832938,28.96586565,22.25838137
tomatoes,,sandy loam,6.57,86.0,18.0,45.0,90.72,28.97,22.26
tomatoes,,sandy loam,6.57,86.0,18.0,45.0,90.72,28.97,22.26
tomatoes,,sandy loam,6.57,86.0,18.0,45.0,90.72,28.97,22.26
tomatoes,,sandy loam,6.57,86.0,18.0,45.0,90.72,28.97,22.26
tomatoes,,sandy loam,6.57,86.0,18.0,45.0,90.72,28.97,22.26
tomatoes,,sandy loam,6.75,101.0,25.0,52.0,94.22,29.1,22.52
tomatoes,,sandy loam,6.75,101.0,25.0,52.0,94.22,29.1,22.52
tomatoes,,sandy loam,6.75,101.0,25.0,52.0,94.22,29.1,22.52
tomatoes,,sandy loam,6.75,101.0,25.0,52.0,94.22,29.1,22.52
tomatoes,,sandy loam,6.75,101.0,25.0,52.0,94.22,29.1,22.52
tomatoes,,sandy loam,6.75,101.0,25.0,52.0,94.22,29.1,22.52
tomatoes,,sandy loam,6.75,101.0,25.0,52.0,94.22,29.1,22.52
tomatoes,,sandy loam,6.75,101.0,25.0,52.0,94.22,29.1,22.52
muskmelon,,,6.750145572,101.0,25.0,52.0,94.22237826,29.09910406,22.52497327
muskmelon,,,6.750145572,101.0,25.0,52.0,94.22237826,29.09910406,22.52497327
muskmelon,,,6.123802502,104.0,25.0,55.0,90.36881284,29.81196601,22.68766503
muskmelon,,,6.123802502,104.0,25.0,55.0,90.36881284,29.81196601,22.68766503
tomatoes,,sandy loam,6.12,104.0,25.0,55.0,90.37,29.81,22.69
muskmelon,,,6.698468621,102.0,24.0,54.0,90.93897939,27.72338349,22.81863447
muskmelon,,,6.698468621,102.0,24.0,54.0,90.93897939,27.72338349,22.81863447
tomatoes,,sandy loam,6.7,102.0,24.0,54.0,90.94,27.72,22.82
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
tomatoes,,sandy loam,6.4,87.0,6.0,45.0,90.79,29.83,22.84
muskmelon,,,6.40077205,87.0,6.0,45.0,90.79007335,29.82729394,22.84203589
muskmelon,,,6.40077205,87.0,6.0,45.0,90.79007335,29.82729394,22.84203589
muskmelon,,,6.286515359,106.0,21.0,52.0,94.78993038,28.89578588,23.0362503
muskmelon,,,6.286515359,106.0,21.0,52.0,94.78993038,28.89578588,23.0362503
tomatoes,,sandy loam,6.29,106.0,21.0,52.0,94.79,28.9,23.04
tomatoes,,sandy loam,6.29,106.0,21.0,52.0,94.79,28.9,23.04
tomatoes,,sandy loam,6.29,106.0,21.0,52.0,94.79,28.9,23.04
tomatoes,,sandy loam,6.44,83.0,15.0,49.0,91.39,28.93,23.2
tomatoes,,sandy loam,6.44,83.0,15.0,49.0,91.39,28.93,23.2
tomatoes,,sandy loam,6.44,83.0,15.0,49.0,91.39,28.93,23.2
muskmelon,,,6.438008153,83.0,15.0,49.0,91.39356832,28.92705913,23.20076686
muskmelon,,,6.438008152999999,83.0,15.0,49.0,91.39356832,28.92705913,23.20076686
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
tomatoes,,sandy loam,6.13,95.0,13.0,46.0,93.76,29.84,23.28
muskmelon,,,6.126019932,95.0,13.0,46.0,93.76312893,29.84070774,23.28207838
muskmelon,,,6.126019932,95.0,13.0,46.0,93.76312893,29.84070774,23.28207838
muskmelon,,,6.547041903,120.0,16.0,51.0,91.64193051,27.99901833,23.28618248
muskmelon,,,6.547041902999999,120.0,16.0,51.0,91.64193051,27.99901833,23.28618248
tomatoes,,sandy loam,6.55,120.0,16.0,51.0,91.64,28.0,23.29
tomatoes,,sandy loam,6.55,120.0,16.0,51.0,91.64,28.0,23.29
tomatoes,,sandy loam,6.55,120.0,16.0,51.0,91.64,28.0,23.29
tomatoes,,sandy loam,6.43,110.0,25.0,54.0,90.78,28.91,23.44
tomatoes,,sandy loam,6.43,110.0,25.0,54.0,90.78,28.91,23.44
tomatoes,,sandy loam,6.43,110.0,25.0,54.0,90.78,28.91,23.44
muskmelon,,,6.425930938,110.0,25.0,54.0,90.78413842,28.91105641,23.44398467
muskmelon,,,6.425930938,110.0,25.0,54.0,90.78413842,28.91105641,23.44398467
muskmelon,,,6.130160473,98.0,26.0,49.0,90.53330091,27.29035669,23.49535234
muskmelon,,,6.130160472999999,98.0,26.0,49.0,90.53330091,27.29035669,23.49535234
tomatoes,,sandy loam,6.13,98.0,26.0,49.0,90.53,27.29,23.5
tomatoes,,sandy loam,6.13,98.0,26.0,49.0,90.53,27.29,23.5
tomatoes,,sandy loam,6.13,98.0,26.0,49.0,90.53,27.29,23.5
tomatoes,,sandy loam,6.13,98.0,26.0,49.0,90.53,27.29,23.5
tomatoes,,sandy loam,6.13,98.0,26.0,49.0,90.53,27.29,23.5
tomatoes,,sandy loam,6.47,104.0,25.0,51.0,93.88,28.96,23.56
tomatoes,,sandy loam,6.47,104.0,25.0,51.0,93.88,28.96,23.56
tomatoes,,sandy loam,6.47,104.0,25.0,51.0,93.88,28.96,23.56
tomatoes,,sandy loam,6.47,104.0,25.0,51.0,93.88,28.96,23.56
muskmelon,,,6.469983276,104.0,25.0,51.0,93.88482153,28.96361426,23.56130173
muskmelon,,,6.469983276000002,104.0,25.0,51.0,93.88482153,28.96361426,23.56130173
muskmelon,,,6.448061578,90.0,15.0,52.0,91.3821731,27.04927452,23.65747461
muskmelon,,,6.448061578,90.0,15.0,52.0,91.3821731,27.04927452,23.65747461
tomatoes,,sandy loam,6.45,90.0,15.0,52.0,91.38,27.05,23.66
tomatoes,,sandy loam,6.45,90.0,15.0,52.0,91.38,27.05,23.66
tomatoes,,sandy loam,6.45,90.0,15.0,52.0,91.38,27.05,23.66
muskmelon,,,6.105909623,100.0,6.0,53.0,93.92217834,29.05248036,23.66620626
muskmelon,,,6.105909623,100.0,6.0,53.0,93.92217834,29.05248036,23.66620626
tomatoes,,sandy loam,6.11,100.0,6.0,53.0,93.92,29.05,23.67
tomatoes,,sandy loam,6.11,100.0,6.0,53.0,93.92,29.05,23.67
tomatoes,,sandy loam,6.11,100.0,6.0,53.0,93.92,29.05,23.67
tomatoes,,sandy loam,6.11,100.0,6.0,53.0,93.92,29.05,23.67
tomatoes,,sandy loam,6.11,100.0,6.0,53.0,93.92,29.05,23.67
tomatoes,,sandy loam,6.11,100.0,6.0,53.0,93.92,29.05,23.67
tomatoes,,sandy loam,6.11,100.0,6.0,53.0,93.92,29.05,23.67
muskmelon,,,6.075144116,85.0,21.0,52.0,90.10051615,29.62800691,23.69586761
muskmelon,,,6.0751441160000015,85.0,21.0,52.0,90.10051615,29.62800691,23.69586761
tomatoes,,sandy loam,6.08,85.0,21.0,52.0,90.1,29.63,23.7
tomatoes,,sandy loam,6.08,85.0,21.0,52.0,90.1,29.63,23.7
tomatoes,,sandy loam,6.48,80.0,18.0,52.0,91.15,27.87,24.05
muskmelon,,,6.484799661,80.0,18.0,52.0,91.14849627,27.87317436,24.05207925
muskmelon,,,6.484799661,80.0,18.0,52.0,91.14849627,27.87317436,24.05207925
muskmelon,,,6.35544263,102.0,11.0,45.0,93.12603235,29.03167341,24.15591199
muskmelon,,,6.35544263,102.0,11.0,45.0,93.12603235,29.03167341,24.15591199
tomatoes,,sandy loam,6.36,102.0,11.0,45.0,93.13,29.03,24.16
tomatoes,,sandy loam,6.36,102.0,11.0,45.0,93.13,29.03,24.16
tomatoes,,sandy loam,6.36,102.0,11.0,45.0,93.13,29.03,24.16
tomatoes,,sandy loam,6.36,102.0,11.0,45.0,93.13,29.03,24.16
tomatoes,,sandy loam,6.57,82.0,26.0,47.0,93.47,28.5,24.2
tomatoes,,sandy loam,6.57,82.0,26.0,47.0,93.47,28.5,24.2
tomatoes,,sandy loam,6.57,82.0,26.0,47.0,93.47,28.5,24.2
muskmelon,,,6.565312653,82.0,26.0,47.0,93.46806467,28.50416396,24.20007242
muskmelon,,,6.565312652999999,82.0,26.0,47.0,93.46806467,28.50416396,24.20007242
muskmelon,,,6.448792689,93.0,20.0,50.0,93.22980899,29.93061247,24.34814338
muskmelon,,,6.4487926889999985,93.0,20.0,50.0,93.22980899,29.93061247,24.34814338
tomatoes,,sandy loam,6.45,93.0,20.0,50.0,93.23,29.93,24.35
tomatoes,,sandy loam,6.45,93.0,20.0,50.0,93.23,29.93,24.35
tomatoes,,sandy loam,6.45,93.0,20.0,50.0,93.23,29.93,24.35
tomatoes,,sandy loam,6.17,113.0,28.0,48.0,92.49,28.88,24.44
tomatoes,,sandy loam,6.17,113.0,28.0,48.0,92.49,28.88,24.44
tomatoes,,sandy loam,6.17,113.0,28.0,48.0,92.49,28.88,24.44
tomatoes,,sandy loam,6.17,113.0,28.0,48.0,92.49,28.88,24.44
tomatoes,,sandy loam,6.17,113.0,28.0,48.0,92.49,28.88,24.44
muskmelon,,,6.170520518,113.0,28.0,48.0,92.48839665,28.87726019,24.44267592
muskmelon,,,6.170520517999999,113.0,28.0,48.0,92.48839665,28.87726019,24.44267592
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
tomatoes,,sandy loam,6.75,95.0,16.0,46.0,90.14,27.08,24.45
