label,n,p,k,ph,temperature,rainfall,humidity,soil_texture
3.0,66.0,44.0,20.0,6.74,19.08,80.73,69.02,3.0
6.0,95.0,39.0,36.0,5.56,23.86,285.25,83.15,0.0
6.0,94.0,50.0,37.0,6.95,25.67,209.59,80.66,0.0
4.0,12.0,6.0,8.0,6.39,30.85,107.41,92.87,1.0
9.0,6.0,37.0,17.0,6.76,28.09,38.14,80.35,1.0
0.0,11.0,61.0,21.0,5.53,18.62,135.34,23.02,0.0
8.0,101.0,25.0,52.0,6.75,29.1,22.52,94.22,3.0
6.0,97.0,36.0,45.0,6.94,22.23,278.08,81.86,0.0
4.0,7.0,16.0,9.0,7.81,18.88,114.67,92.04,1.0
4.0,29.0,25.0,14.0,7.78,30.49,113.33,90.46,1.0
5.0,81.0,6.0,55.0,6.11,24.89,51.71,85.87,2.0
2.0,23.0,30.0,44.0,6.12,20.94,103.03,85.43,3.0
2.0,4.0,20.0,41.0,6.54,24.27,104.54,93.8,3.0
2.0,8.0,28.0,37.0,6.08,23.88,108.31,86.21,3.0
2.0,32.0,13.0,42.0,5.79,23.5,106.62,92.98,3.0
3.0,67.0,35.0,22.0,6.39,23.31,108.76,63.25,3.0
8.0,81.0,25.0,49.0,6.08,29.87,26.26,93.25,3.0
5.0,101.0,11.0,51.0,6.79,25.51,44.21,84.24,2.0
1.0,29.0,70.0,15.0,6.87,30.33,74.17,63.55,3.0
7.0,57.0,58.0,77.0,7.98,18.73,81.2,17.58,1.0
3.0,78.0,37.0,22.0,6.33,25.34,74.52,63.32,3.0
9.0,17.0,58.0,20.0,6.43,28.07,39.24,85.92,1.0
0.0,28.0,58.0,24.0,5.75,19.73,143.76,18.28,0.0
6.0,89.0,54.0,38.0,6.69,24.52,230.45,83.54,0.0
3.0,66.0,54.0,21.0,5.92,25.19,72.12,60.2,3.0
3.0,87.0,60.0,23.0,6.44,20.27,62.5,63.91,3.0
3.0,67.0,51.0,24.0,5.58,23.5,64.78,61.32,3.0
0.0,27.0,80.0,15.0,5.79,19.07,86.22,21.21,0.0
1.0,37.0,62.0,17.0,7.12,25.69,74.62,69.84,3.0
2.0,29.0,21.0,45.0,6.75,23.41,105.22,93.13,3.0
0.0,25.0,70.0,16.0,5.76,19.63,106.36,18.91,0.0
6.0,71.0,46.0,40.0,7.24,20.28,191.95,82.12,0.0
0.0,27.0,56.0,22.0,5.83,19.92,108.64,20.7,0.0
6.0,75.0,54.0,36.0,7.02,26.29,257.49,84.57,0.0
8.0,81.0,25.0,49.0,6.08,29.87,26.26,93.25,3.0
9.0,36.0,38.0,15.0,6.32,28.36,58.0,87.6,1.0
0.0,6.0,77.0,25.0,5.79,20.61,69.64,24.36,0.0
2.0,8.0,23.0,44.0,7.13,18.47,108.48,89.69,3.0
7.0,49.0,69.0,82.0,6.26,18.32,81.79,15.36,1.0
3.0,99.0,50.0,15.0,5.57,18.15,88.08,71.09,3.0
6.0,93.0,58.0,38.0,6.93,20.62,279.55,83.77,0.0
4.0,26.0,27.0,10.0,6.08,28.07,114.13,92.91,1.0
4.0,19.0,7.0,9.0,6.97,27.26,101.14,91.71,1.0
2.0,22.0,26.0,38.0,6.99,22.92,110.24,85.13,3.0
5.0,114.0,8.0,50.0,6.58,24.75,57.96,88.31,2.0
5.0,107.0,5.0,52.0,6.88,26.66,57.41,89.98,2.0
5.0,91.0,7.0,53.0,6.46,25.14,43.53,89.28,2.0
5.0,85.0,25.0,47.0,6.3,26.11,58.48,87.64,2.0
6.0,81.0,45.0,35.0,6.16,26.53,218.92,80.12,0.0
8.0,110.0,25.0,54.0,6.43,28.91,23.44,90.78,3.0
5.0,100.0,10.0,53.0,6.21,24.54,42.01,84.61,2.0
3.0,78.0,37.0,22.0,6.33,25.34,74.52,63.32,3.0
7.0,34.0,71.0,79.0,7.73,17.93,74.64,15.86,1.0
2.0,3.0,9.0,45.0,6.54,23.89,104.62,89.62,3.0
4.0,22.0,17.0,5.0,6.95,24.12,102.84,90.72,1.0
3.0,83.0,45.0,21.0,5.72,18.83,79.75,58.75,3.0
9.0,8.0,54.0,20.0,7.03,28.33,38.8,80.77,1.0
7.0,51.0,72.0,75.0,7.1,18.89,80.11,14.99,1.0
4.0,12.0,20.0,10.0,6.53,24.45,109.47,93.11,1.0
3.0,78.0,48.0,22.0,5.59,23.09,70.43,63.1,3.0
1.0,44.0,58.0,18.0,6.81,28.04,72.5,65.07,3.0
6.0,89.0,54.0,38.0,6.69,24.52,230.45,83.54,0.0
7.0,43.0,66.0,79.0,7.98,19.46,74.59,15.23,1.0
0.0,26.0,65.0,22.0,5.95,17.85,143.1,18.78,0.0
2.0,12.0,20.0,39.0,6.03,19.86,111.02,86.2,3.0
5.0,109.0,21.0,55.0,6.77,24.9,57.45,89.74,2.0
0.0,5.0,59.0,15.0,5.97,18.87,134.18,20.18,0.0
9.0,33.0,60.0,15.0,6.51,28.95,56.51,81.67,1.0
1.0,35.0,64.0,15.0,6.5,28.47,69.53,63.54,3.0
7.0,27.0,79.0,82.0,6.31,17.07,70.87,17.54,1.0
6.0,95.0,39.0,36.0,5.56,23.86,285.25,83.15,0.0
7.0,29.0,77.0,75.0,7.78,17.5,72.94,15.48,1.0
6.0,84.0,50.0,44.0,5.94,25.49,182.65,81.41,0.0
5.0,112.0,28.0,54.0,6.74,24.86,55.3,85.05,2.0
7.0,23.0,62.0,85.0,8.49,18.97,80.71,19.52,1.0
8.0,87.0,6.0,45.0,6.4,29.83,22.84,90.79,3.0
9.0,34.0,45.0,21.0,6.29,28.19,37.01,82.61,1.0
6.0,93.0,56.0,42.0,7.38,23.86,195.09,82.23,0.0
0.0,9.0,77.0,17.0,5.78,20.12,106.16,24.45,0.0
2.0,8.0,28.0,37.0,6.08,23.88,108.31,86.21,3.0
5.0,102.0,28.0,54.0,6.86,25.16,55.5,80.28,2.0
4.0,39.0,9.0,15.0,7.99,25.35,116.76,91.81,1.0
2.0,29.0,22.0,40.0,6.15,23.63,107.68,89.73,3.0
0.0,9.0,69.0,20.0,5.59,19.31,129.34,23.96,0.0
7.0,36.0,65.0,80.0,6.05,18.29,74.87,16.68,1.0
5.0,90.0,14.0,52.0,6.39,24.85,59.68,89.2,2.0
0.0,0.0,65.0,15.0,5.65,23.46,95.84,23.22,0.0
8.0,113.0,6.0,52.0,6.74,27.76,25.22,90.36,3.0
3.0,83.0,45.0,21.0,5.72,18.83,79.75,58.75,3.0
3.0,94.0,39.0,18.0,5.89,23.89,102.83,57.49,3.0
4.0,28.0,7.0,9.0,6.73,34.59,115.57,92.13,1.0
7.0,43.0,79.0,79.0,7.81,19.41,80.25,18.98,1.0
0.0,25.0,60.0,22.0,5.89,21.63,134.36,21.18,0.0
5.0,95.0,12.0,51.0,6.68,25.76,44.22,84.17,2.0
0.0,36.0,68.0,20.0,5.86,17.06,81.83,23.77,0.0
5.0,99.0,5.0,47.0,6.65,24.13,51.19,84.84,2.0
8.0,110.0,14.0,51.0,6.09,27.02,21.26,91.67,3.0
9.0,20.0,41.0,20.0,7.07,29.27,50.92,89.49,1.0
9.0,4.0,41.0,20.0,6.65,28.15,37.45,83.8,1.0
8.0,111.0,5.0,47.0,6.27,28.03,21.18,91.47,3.0
7.0,50.0,56.0,76.0,7.97,21.0,73.51,19.86,1.0
9.0,7.0,60.0,25.0,6.4,28.28,56.05,82.76,1.0
2.0,32.0,14.0,37.0,6.83,22.73,104.68,88.49,3.0
3.0,83.0,57.0,19.0,6.88,25.73,98.74,70.75,3.0
8.0,85.0,21.0,47.0,6.19,29.87,24.7,90.61,3.0
0.0,9.0,69.0,20.0,5.59,19.31,129.34,23.96,0.0
2.0,34.0,9.0,36.0,6.28,22.81,110.44,86.34,3.0
6.0,78.0,40.0,38.0,7.55,26.46,248.23,83.86,0.0
2.0,21.0,6.0,41.0,7.09,24.88,107.2,89.4,3.0
7.0,57.0,58.0,77.0,7.98,18.73,81.2,17.58,1.0
5.0,83.0,25.0,53.0,6.06,26.49,57.73,80.05,2.0
5.0,98.0,25.0,52.0,6.22,25.28,49.29,83.15,2.0
3.0,99.0,38.0,21.0,6.35,22.88,67.73,71.6,3.0
5.0,83.0,23.0,55.0,6.46,26.9,43.97,83.89,2.0
7.0,42.0,74.0,83.0,7.55,19.26,65.78,14.28,1.0
1.0,50.0,64.0,25.0,6.73,28.84,70.25,63.37,3.0
3.0,74.0,43.0,23.0,6.33,25.95,99.58,61.89,3.0
1.0,40.0,63.0,18.0,6.74,30.42,63.02,67.66,3.0
1.0,52.0,70.0,16.0,7.53,33.67,67.33,66.6,3.0
8.0,81.0,25.0,49.0,6.08,29.87,26.26,93.25,3.0
9.0,31.0,51.0,25.0,7.2,27.54,53.02,85.57,1.0
8.0,95.0,27.0,55.0,6.16,28.47,20.89,91.21,3.0
7.0,30.0,75.0,81.0,6.41,19.42,68.52,16.81,1.0
5.0,101.0,10.0,47.0,6.94,25.54,57.57,83.32,2.0
3.0,77.0,36.0,23.0,6.65,24.71,88.45,56.73,3.0
6.0,71.0,46.0,40.0,7.24,20.28,191.95,82.12,0.0
1.0,56.0,76.0,16.0,7.51,28.27,63.3,61.19,3.0
7.0,37.0,55.0,82.0,6.42,19.46,78.45,18.02,1.0
6.0,79.0,42.0,37.0,6.59,24.87,295.61,82.84,0.0
5.0,105.0,14.0,50.0,6.42,26.21,59.66,87.69,2.0
7.0,20.0,79.0,77.0,7.65,18.55,76.33,16.03,1.0
4.0,36.0,11.0,13.0,7.19,17.34,112.72,93.05,1.0
4.0,40.0,17.0,15.0,7.87,21.35,107.09,90.95,1.0
2.0,18.0,21.0,35.0,6.37,23.28,111.14,94.94,3.0
4.0,31.0,5.0,14.0,6.58,17.67,110.69,91.7,1.0
0.0,7.0,79.0,23.0,5.82,19.64,96.66,19.69,0.0
0.0,26.0,65.0,22.0,5.95,17.85,143.1,18.78,0.0
0.0,13.0,60.0,25.0,5.69,17.14,128.26,20.61,0.0
3.0,89.0,60.0,17.0,5.98,25.38,101.7,57.21,3.0
5.0,81.0,6.0,55.0,6.11,24.89,51.71,85.87,2.0
0.0,40.0,64.0,16.0,5.93,16.43,140.37,24.24,0.0
3.0,90.0,49.0,21.0,6.47,24.84,74.05,68.36,3.0
8.0,85.0,9.0,53.0,6.45,28.21,28.79,92.87,3.0
6.0,64.0,45.0,43.0,5.53,25.63,209.9,83.53,0.0
6.0,75.0,54.0,36.0,7.02,26.29,257.49,84.57,0.0
5.0,98.0,8.0,51.0,6.26,26.18,49.43,86.52,2.0
2.0,23.0,30.0,44.0,6.12,20.94,103.03,85.43,3.0
0.0,6.0,62.0,22.0,5.82,20.53,120.45,18.09,0.0
6.0,89.0,54.0,38.0,6.69,24.52,230.45,83.54,0.0
1.0,41.0,74.0,18.0,6.6,28.76,73.38,61.03,3.0
8.0,99.0,29.0,55.0,6.66,29.19,26.48,91.46,3.0
6.0,69.0,46.0,41.0,5.01,23.64,263.11,80.29,0.0
8.0,88.0,17.0,52.0,6.65,29.9,25.38,90.75,3.0
7.0,30.0,65.0,82.0,6.11,20.71,76.78,15.28,1.0
5.0,82.0,23.0,49.0,6.87,26.81,51.7,87.22,2.0
0.0,27.0,56.0,20.0,5.54,19.26,94.95,20.51,0.0
9.0,4.0,59.0,25.0,6.23,27.69,54.62,81.94,1.0
8.0,120.0,16.0,51.0,6.55,28.0,23.29,91.64,3.0
8.0,115.0,9.0,52.0,6.02,29.07,29.12,90.98,3.0
4.0,5.0,23.0,15.0,7.41,25.67,112.54,92.05,1.0
0.0,14.0,67.0,22.0,5.62,23.83,84.64,24.75,0.0
4.0,12.0,8.0,10.0,8.0,16.15,107.43,91.44,1.0
4.0,31.0,8.0,7.0,7.16,34.51,103.57,93.64,1.0
9.0,31.0,58.0,15.0,7.12,27.11,51.53,84.97,1.0
7.0,49.0,55.0,78.0,7.86,18.66,81.71,16.18,1.0
2.0,37.0,18.0,39.0,6.42,24.15,110.23,94.51,3.0
7.0,35.0,57.0,83.0,7.48,19.48,80.5,17.45,1.0
4.0,15.0,9.0,11.0,7.91,11.55,108.83,94.15,1.0
6.0,85.0,58.0,41.0,7.04,21.77,226.66,80.32,0.0
0.0,26.0,65.0,22.0,5.95,17.85,143.1,18.78,0.0
8.0,111.0,5.0,50.0,6.4,27.59,24.84,91.8,3.0
0.0,9.0,69.0,20.0,5.59,19.31,129.34,23.96,0.0
9.0,40.0,51.0,17.0,6.86,28.66,50.02,86.12,1.0
7.0,36.0,76.0,75.0,8.74,18.38,70.52,16.64,1.0
9.0,14.0,48.0,21.0,6.99,29.25,53.43,84.8,1.0
4.0,0.0,18.0,14.0,7.21,29.77,114.42,92.01,1.0
0.0,8.0,72.0,17.0,5.71,20.57,87.88,19.75,0.0
2.0,23.0,30.0,44.0,6.12,20.94,103.03,85.43,3.0
7.0,26.0,80.0,83.0,7.53,17.08,71.31,16.15,1.0
4.0,7.0,16.0,9.0,7.81,18.88,114.67,92.04,1.0
8.0,118.0,18.0,52.0,6.56,28.05,20.76,90.83,3.0
2.0,3.0,9.0,45.0,6.54,23.89,104.62,89.62,3.0
5.0,119.0,25.0,51.0,6.28,26.47,53.66,80.92,2.0
5.0,83.0,22.0,54.0,6.28,25.9,54.5,81.97,2.0
4.0,33.0,12.0,15.0,6.05,30.26,116.72,92.03,1.0
8.0,101.0,17.0,47.0,6.19,29.49,26.31,94.73,3.0
7.0,25.0,78.0,76.0,7.23,17.48,66.97,15.76,1.0
8.0,87.0,6.0,45.0,6.4,29.83,22.84,90.79,3.0
7.0,59.0,70.0,84.0,7.55,17.33,82.62,18.75,1.0
5.0,98.0,8.0,51.0,6.26,26.18,49.43,86.52,2.0
9.0,36.0,38.0,15.0,6.32,28.36,58.0,87.6,1.0
8.0,113.0,20.0,48.0,6.44,27.47,27.28,94.88,3.0
7.0,48.0,65.0,78.0,7.86,17.44,73.09,14.34,1.0
4.0,37.0,24.0,13.0,7.85,19.14,108.02,90.71,1.0
1.0,55.0,78.0,21.0,6.6,33.39,63.57,62.94,3.0
0.0,11.0,72.0,20.0,5.95,19.52,113.33,24.93,0.0
8.0,120.0,23.0,55.0,6.73,27.84,26.48,91.61,3.0
1.0,20.0,60.0,25.0,6.73,27.33,61.19,69.09,3.0
4.0,6.0,9.0,12.0,7.03,31.08,109.69,90.14,1.0
0.0,17.0,59.0,17.0,5.69,18.42,132.98,23.43,0.0
3.0,94.0,54.0,17.0,5.87,23.39,107.32,61.74,3.0
9.0,39.0,37.0,15.0,6.82,29.0,59.84,83.79,1.0
4.0,32.0,18.0,13.0,6.04,13.84,107.99,91.75,1.0
9.0,14.0,37.0,15.0,6.58,27.96,48.94,83.98,1.0
3.0,70.0,47.0,17.0,6.6,24.61,104.16,70.42,3.0
4.0,12.0,8.0,10.0,8.0,16.15,107.43,91.44,1.0
6.0,78.0,35.0,44.0,7.07,26.54,183.62,84.67,0.0
2.0,5.0,15.0,38.0,5.71,18.26,108.08,88.17,3.0
7.0,34.0,71.0,79.0,7.73,17.93,74.64,15.86,1.0
6.0,65.0,60.0,43.0,5.66,21.97,227.36,81.9,0.0
2.0,32.0,14.0,37.0,6.83,22.73,104.68,88.49,3.0
0.0,29.0,68.0,23.0,5.83,24.16,116.73,19.28,0.0
4.0,9.0,8.0,15.0,7.99,14.34,110.22,94.36,1.0
2.0,40.0,11.0,44.0,6.32,24.46,111.38,86.11,3.0
4.0,36.0,11.0,13.0,7.19,17.34,112.72,93.05,1.0
3.0,96.0,46.0,22.0,6.5,20.58,66.29,69.0,3.0
5.0,105.0,30.0,50.0,6.38,25.3,57.04,81.78,2.0
2.0,22.0,26.0,38.0,6.99,22.92,110.24,85.13,3.0
9.0,28.0,35.0,22.0,7.16,29.53,59.87,86.73,1.0
5.0,106.0,14.0,45.0,6.42,24.47,57.27,84.16,2.0
7.0,24.0,55.0,78.0,6.65,17.3,75.58,15.15,1.0
0.0,19.0,65.0,25.0,5.63,18.1,144.79,18.29,0.0
4.0,34.0,11.0,10.0,7.36,31.75,115.2,94.6,1.0
7.0,29.0,77.0,75.0,7.78,17.5,72.94,15.48,1.0
3.0,66.0,53.0,19.0,6.03,23.09,65.5,60.12,3.0
0.0,25.0,76.0,24.0,5.57,15.33,135.33,24.92,0.0
0.0,3.0,77.0,25.0,5.61,24.85,62.21,22.89,0.0
2.0,38.0,21.0,35.0,5.84,20.34,110.97,89.38,3.0
3.0,87.0,60.0,23.0,6.44,20.27,62.5,63.91,3.0
5.0,107.0,5.0,52.0,6.88,26.66,57.41,89.98,2.0
9.0,14.0,57.0,15.0,6.62,29.88,40.12,83.15,1.0
9.0,4.0,59.0,25.0,6.23,27.69,54.62,81.94,1.0
5.0,107.0,5.0,52.0,6.88,26.66,57.41,89.98,2.0
2.0,4.0,19.0,42.0,6.31,23.83,111.22,87.84,3.0
4.0,29.0,25.0,14.0,7.78,30.49,113.33,90.46,1.0
2.0,27.0,24.0,41.0,6.61,24.33,110.46,90.88,3.0
8.0,87.0,21.0,52.0,6.07,27.35,27.21,94.29,3.0
1.0,49.0,72.0,15.0,7.14,31.56,74.87,67.84,3.0
2.0,8.0,28.0,38.0,6.84,23.23,105.69,94.43,3.0
4.0,32.0,18.0,13.0,6.04,13.84,107.99,91.75,1.0
4.0,18.0,5.0,11.0,6.25,20.88,102.46,90.94,1.0
8.0,120.0,23.0,55.0,6.73,27.84,26.48,91.61,3.0
6.0,93.0,56.0,42.0,7.38,23.86,195.09,82.23,0.0
2.0,0.0,5.0,36.0,6.15,24.35,105.53,90.89,3.0
5.0,120.0,24.0,47.0,6.26,26.99,58.55,89.41,2.0
4.0,7.0,16.0,9.0,7.81,18.88,114.67,92.04,1.0
7.0,56.0,67.0,78.0,8.26,17.57,77.82,16.72,1.0
7.0,39.0,71.0,84.0,8.14,20.28,82.52,16.4,1.0
6.0,61.0,52.0,41.0,6.88,24.98,204.8,83.89,0.0
3.0,60.0,44.0,23.0,5.72,24.79,76.73,70.05,3.0
4.0,34.0,11.0,10.0,7.36,31.75,115.2,94.6,1.0
8.0,87.0,21.0,52.0,6.07,27.35,27.21,94.29,3.0
2.0,3.0,9.0,45.0,6.54,23.89,104.62,89.62,3.0
3.0,66.0,44.0,20.0,6.74,19.08,80.73,69.02,3.0
7.0,24.0,56.0,85.0,6.55,18.2,80.64,17.41,1.0
8.0,101.0,17.0,47.0,6.19,29.49,26.31,94.73,3.0
5.0,109.0,10.0,53.0,6.55,26.82,46.06,87.83,2.0
1.0,58.0,71.0,15.0,6.92,27.83,74.01,67.59,3.0
5.0,82.0,22.0,45.0,6.51,26.22,54.6,85.35,2.0
7.0,42.0,74.0,83.0,7.55,19.26,65.78,14.28,1.0
4.0,13.0,22.0,5.0,7.76,19.67,100.17,90.5,1.0
1.0,55.0,77.0,22.0,7.76,31.43,64.78,62.99,3.0
3.0,72.0,60.0,25.0,5.77,18.53,88.1,69.03,3.0
0.0,22.0,70.0,19.0,5.52,18.24,69.45,21.08,0.0
4.0,20.0,23.0,11.0,6.41,31.85,109.95,90.12,1.0
9.0,28.0,35.0,22.0,7.16,29.53,59.87,86.73,1.0
9.0,0.0,49.0,18.0,6.99,29.68,41.82,87.94,1.0
4.0,36.0,11.0,13.0,7.19,17.34,112.72,93.05,1.0
3.0,83.0,57.0,19.0,6.88,25.73,98.74,70.75,3.0
7.0,28.0,72.0,84.0,6.48,18.73,71.58,19.18,1.0
8.0,110.0,22.0,47.0,6.24,29.03,24.94,91.82,3.0
0.0,20.0,73.0,22.0,5.98,16.04,130.39,22.33,0.0
9.0,20.0,41.0,20.0,7.07,29.27,50.92,89.49,1.0
5.0,105.0,14.0,50.0,6.42,26.21,59.66,87.69,2.0
9.0,14.0,48.0,21.0,6.99,29.25,53.43,84.8,1.0
4.0,20.0,29.0,10.0,7.37,29.07,100.79,93.27,1.0
4.0,5.0,23.0,15.0,7.41,25.67,112.54,92.05,1.0
0.0,9.0,77.0,17.0,5.78,20.12,106.16,24.45,0.0
7.0,25.0,78.0,76.0,7.23,17.48,66.97,15.76,1.0
8.0,106.0,16.0,54.0,6.59,28.96,24.75,91.7,3.0
8.0,82.0,20.0,54.0,6.54,29.34,21.45,90.02,3.0
9.0,34.0,47.0,19.0,6.57,27.31,53.15,85.45,1.0
3.0,79.0,45.0,20.0,5.72,23.81,89.96,59.25,3.0
7.0,53.0,73.0,77.0,7.33,19.71,73.64,18.1,1.0
1.0,27.0,62.0,24.0,7.35,28.63,62.27,66.77,3.0
5.0,89.0,22.0,52.0,6.22,24.9,53.15,86.11,2.0
9.0,8.0,54.0,20.0,7.03,28.33,38.8,80.77,1.0
5.0,112.0,28.0,54.0,6.74,24.86,55.3,85.05,2.0
7.0,51.0,72.0,75.0,7.1,18.89,80.11,14.99,1.0
5.0,99.0,6.0,45.0,6.0,26.13,40.71,86.55,2.0
7.0,38.0,60.0,76.0,8.87,18.65,77.93,17.81,1.0
9.0,13.0,47.0,20.0,6.54,29.22,43.14,87.94,1.0
1.0,25.0,65.0,21.0,6.88,33.86,69.24,68.59,3.0
9.0,13.0,47.0,20.0,6.54,29.22,43.14,87.94,1.0
3.0,74.0,56.0,22.0,6.83,18.28,80.98,66.66,3.0
5.0,107.0,10.0,49.0,6.76,25.83,45.25,89.0,2.0
3.0,79.0,59.0,17.0,6.64,20.38,108.51,63.74,3.0
6.0,73.0,35.0,38.0,5.01,24.89,185.95,81.98,0.0
8.0,99.0,12.0,52.0,6.0,28.7,22.22,94.31,3.0
3.0,70.0,44.0,19.0,5.85,23.32,94.3,73.45,3.0
8.0,95.0,7.0,45.0,6.03,27.3,25.09,90.8,3.0
5.0,108.0,23.0,51.0,6.11,26.84,40.23,83.85,2.0
4.0,34.0,29.0,8.0,6.45,31.88,105.34,91.15,1.0
3.0,71.0,52.0,18.0,5.79,25.11,78.16,55.98,3.0
1.0,48.0,61.0,21.0,6.63,30.28,65.63,61.69,3.0
5.0,104.0,23.0,47.0,6.77,26.98,42.91,86.7,2.0
9.0,36.0,43.0,21.0,7.14,28.36,52.93,84.86,1.0
6.0,61.0,52.0,41.0,6.88,24.98,204.8,83.89,0.0
7.0,20.0,79.0,77.0,7.65,18.55,76.33,16.03,1.0
5.0,90.0,16.0,45.0,6.29,24.92,50.56,80.62,2.0
8.0,114.0,27.0,48.0,6.53,27.82,26.32,93.04,3.0
2.0,10.0,5.0,42.0,6.89,20.24,109.25,91.09,3.0
6.0,69.0,55.0,38.0,5.7,22.71,271.32,82.64,0.0
7.0,22.0,78.0,76.0,8.62,17.85,76.32,19.09,1.0
5.0,88.0,29.0,51.0,6.1,24.72,48.46,88.95,2.0
4.0,33.0,12.0,8.0,6.82,25.26,117.37,90.31,1.0
1.0,59.0,58.0,17.0,7.37,28.55,62.83,66.31,3.0
1.0,21.0,63.0,22.0,6.86,25.1,74.62,67.73,3.0
6.0,67.0,45.0,38.0,7.3,22.73,260.89,82.17,0.0
2.0,0.0,5.0,36.0,6.15,24.35,105.53,90.89,3.0
7.0,45.0,61.0,78.0,6.49,19.49,81.53,16.06,1.0
5.0,85.0,22.0,53.0,6.85,25.97,59.46,89.77,2.0
5.0,95.0,16.0,55.0,6.61,25.27,40.13,87.55,2.0
1.0,35.0,64.0,15.0,6.5,28.47,69.53,63.54,3.0
1.0,56.0,79.0,15.0,7.45,29.48,71.89,63.2,3.0
5.0,109.0,21.0,55.0,6.77,24.9,57.45,89.74,2.0
5.0,100.0,10.0,53.0,6.21,24.54,42.01,84.61,2.0
4.0,31.0,26.0,9.0,7.57,11.7,103.2,93.26,1.0
3.0,63.0,35.0,16.0,6.27,22.03,83.73,65.36,3.0
2.0,29.0,22.0,43.0,5.56,19.66,106.04,87.95,3.0
8.0,80.0,18.0,51.0,6.71,28.05,20.77,91.82,3.0
2.0,39.0,17.0,45.0,6.92,18.1,104.88,90.42,3.0
5.0,85.0,27.0,45.0,6.47,26.07,57.8,88.73,2.0
0.0,13.0,60.0,25.0,5.69,17.14,128.26,20.61,0.0
8.0,107.0,22.0,54.0,6.63,28.0,21.62,90.85,3.0
2.0,9.0,8.0,40.0,6.55,22.49,111.66,89.92,3.0
5.0,116.0,5.0,54.0,6.65,25.38,57.23,80.99,2.0
1.0,27.0,60.0,17.0,7.03,26.42,64.42,63.65,3.0
2.0,9.0,8.0,40.0,6.55,22.49,111.66,89.92,3.0
7.0,57.0,68.0,81.0,8.08,17.17,72.79,17.3,1.0
0.0,25.0,76.0,24.0,5.57,15.33,135.33,24.92,0.0
3.0,75.0,56.0,18.0,5.7,19.4,60.95,62.36,3.0
5.0,91.0,24.0,55.0,6.26,26.27,46.77,83.09,2.0
2.0,5.0,13.0,37.0,5.65,22.34,103.32,89.79,3.0
4.0,34.0,29.0,8.0,6.45,31.88,105.34,91.15,1.0
9.0,21.0,39.0,20.0,7.06,28.14,46.76,82.12,1.0
0.0,25.0,63.0,20.0,5.5,15.79,95.17,21.15,0.0
9.0,39.0,37.0,15.0,6.82,29.0,59.84,83.79,1.0
3.0,77.0,52.0,17.0,5.71,24.86,75.82,65.74,3.0
3.0,77.0,57.0,21.0,6.55,24.93,79.74,73.8,3.0
7.0,26.0,80.0,83.0,7.53,17.08,71.31,16.15,1.0
7.0,39.0,76.0,76.0,6.14,19.97,69.16,15.57,1.0
6.0,60.0,43.0,44.0,7.42,21.02,298.4,82.95,0.0
1.0,38.0,62.0,25.0,7.45,32.75,63.38,67.78,3.0
